"id_eleicao","id_candidato","id_cidade","id_cargo","uf","votos_do_candidato","eleitores","votes_nominais"
131,112506,"70653",6,"SP",0,4715,3997
131,112506,"70670",6,"SP",0,2128,1966
131,112506,"70696",6,"SP",0,2637,2214
131,112506,"70718",6,"SP",1,268389,228384
131,112506,"70734",6,"SP",0,6932,6012
131,112506,"70750",6,"SP",3,491192,403012
131,112506,"70777",6,"SP",0,107516,90882
131,112506,"70793",6,"SP",2,142086,118242
131,112506,"70815",6,"SP",0,2021,1719
131,112506,"70831",6,"SP",1,54266,46836
131,112506,"70858",6,"SP",0,1938,1693
131,112506,"70874",6,"SP",0,1577,1335
131,112506,"70890",6,"SP",0,28482,23813
131,112506,"70912",6,"SP",0,5177,4556
131,112506,"70939",6,"SP",0,2802,2564
131,112506,"70955",6,"SP",1,32764,27427
131,112506,"70971",6,"SP",1,250606,214110
131,112506,"70998",6,"SP",4,390647,341891
131,112506,"71013",6,"SP",0,7853,6970
131,112506,"71030",6,"SP",0,24386,17890
131,112506,"71056",6,"SP",0,19203,16536
131,112506,"71072",6,"SP",121,7104325,5770249
131,112506,"71099",6,"SP",0,19059,16011
131,112506,"71110",6,"SP",0,4403,3881
131,112506,"71137",6,"SP",0,45383,37026
131,112506,"71153",6,"SP",0,44000,37636
131,112506,"71170",6,"SP",0,7201,6014
131,112506,"71196",6,"SP",0,9089,8117
131,112506,"71218",6,"SP",1,204431,168959
131,112506,"71234",6,"SP",0,5524,4801
131,112506,"71250",6,"SP",0,2477,2209
131,112506,"71277",6,"SP",0,2377,1993
131,112506,"71293",6,"SP",0,5182,4516
131,112506,"71315",6,"SP",0,24236,21097
131,112506,"71331",6,"SP",0,16749,14680
131,112506,"71358",6,"SP",0,68575,57493
131,112506,"71374",6,"SP",0,7718,7066
131,112506,"71390",6,"SP",0,10008,8794
131,112506,"71412",6,"SP",0,4166,3706
131,112506,"71439",6,"SP",0,22264,19390
131,112506,"71455",6,"SP",13,370733,303485
131,112506,"71471",6,"SP",0,4943,4370
131,112506,"71498",6,"SP",3,138896,112729
131,112506,"71510",6,"SP",3,168137,134558
131,112506,"71536",6,"SP",0,7421,6148
131,112506,"71552",6,"SP",0,8979,7543
131,112506,"71579",6,"SP",5,161583,131222
131,112506,"71595",6,"SP",0,4072,3763
131,112506,"71617",6,"SP",0,6707,5967
131,112506,"71633",6,"SP",0,3637,3187
131,112506,"71650",6,"SP",0,3684,3274
131,112506,"71676",6,"SP",1,13551,11750
131,112506,"71692",6,"SP",0,15565,13989
131,112506,"71714",6,"SP",0,4644,4055
131,112506,"71730",6,"SP",0,8250,7119
131,112506,"71757",6,"SP",0,30961,26752
131,112506,"71773",6,"SP",0,14659,12647
131,112506,"71790",6,"SP",0,4319,3890
131,112506,"71811",6,"SP",0,64213,52637
131,112506,"71838",6,"SP",5,173952,140578
131,112506,"71854",6,"SP",0,3054,2691
131,112506,"71870",6,"SP",0,12464,11355
131,112506,"71897",6,"SP",0,5428,4747
131,112506,"71919",6,"SP",0,22648,18919
131,112506,"71935",6,"SP",0,1938,1778
131,112506,"71951",6,"SP",0,5785,4984
131,112506,"71978",6,"SP",0,19527,16291
131,112506,"71994",6,"SP",0,3761,3367
131,112506,"72010",6,"SP",0,38730,33335
131,112506,"72036",6,"SP",0,8792,7862
131,112506,"72052",6,"SP",0,1347,1156
131,112506,"72079",6,"SP",0,1406,1189
131,112506,"72095",6,"SP",0,47147,39340
131,112506,"72117",6,"SP",0,2873,2569
131,112506,"72133",6,"SP",0,6336,5098
131,112506,"72150",6,"SP",0,1271,1151
131,112506,"72176",6,"SP",0,5447,4525
131,112506,"72192",6,"SP",0,1137,1041
131,112506,"72214",6,"SP",0,8160,7010
131,112506,"72230",6,"SP",0,7196,6196
131,112506,"72257",6,"SP",0,68359,54855
131,112506,"72273",6,"SP",0,11978,10600
131,112506,"72311",6,"SP",1,24254,20966
131,112506,"72338",6,"SP",0,69169,56404
131,112506,"72354",6,"SP",0,6863,5902
131,112506,"72370",6,"SP",0,44213,35830
131,112506,"72397",6,"SP",0,10922,9429
131,112506,"72419",6,"SP",0,4226,3517
131,112506,"72435",6,"SP",3,69756,57020
131,112506,"72451",6,"SP",0,54611,47844
131,112506,"72737",6,"SP",1,27818,23381
