#,Pesquisador,Rua pesquisada,Cidade de origem,Loja:,Trabalha na área?,Quanto gastou em compras?,Em que estágio das compras o Sr./a Sra está?,Meio de transporte usado para chegar ao centro,"Se veio de carro, onde estacionou o carro?",Pedestres,Faixa de circulação de veículos,Estacionamento,Espaços Públicos,Arborização,Mobiliário Urbano,Em que ano o Sr./a Sra nasceu?,Qual sua renda familiar?,Sexo:,Start Date (UTC),Submit Date (UTC),Network ID
dab0c8fedcac1f3ebda9a906648d5bd6,Maria Clara,Monsenhor Sales,Campina Grande,Sim,0,"R$1,00 - R$50,00",No meio,Carro,Estacionamento privado,5,4,4,5,4,5,1989,"8 a 10 SM (R$6.305,00 - R$7.880,00)",Feminino,2015-12-11 19:38:11,2015-12-11 19:42:15,8616a6d529
64a53382c7d113a947ea233672077fb9,bia,Venâncio Neiva,Campina Grande,brasil cacau,0,"R$1,00 - R$50,00",No meio,Carro,Carona apenas ida,5,2,1,4,5,5,1959,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 19:39:52,2015-12-11 19:43:47,aa463a9ae4
adedd801ff47c8b6b281e9161bef3e78,Marihana,Mons. Sales,Catole do rocha,Fiteiro,1,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,3,4,4,5,5,1925,Não quis informar,Masculino,2015-12-11 19:41:28,2015-12-11 19:47:29,6db6bdd8a8
32f441961611d1e03e6cc6f0df4ad48b,Bruna P,Monsenhor Sales,Campina Grande,N,0,Não comprou,Nem começou,Moto,Estacionamento privado,5,3,3,5,5,4,1979,"2 SM (R$1.576,00)",Feminino,2015-12-11 19:43:03,2015-12-11 19:48:22,f7c2a7ca12
62bc4202f8702db1444c960f58698694,Maria Clara,Monsenhor Sales,Campina Grande,Nao,0,Não comprou,Nem começou,Carro,Carona apenas ida,5,3,3,5,5,5,1990,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 19:43:15,2015-12-11 19:51:35,8616a6d529
698878da2bc559b50371c47321472d80,bia,Venâncio Neiva,Campina Grande,luiz tecidos,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,1,1,5,5,5,1937,"2 SM (R$1.576,00)",Feminino,2015-12-11 19:44:06,2015-12-11 19:47:01,aa463a9ae4
adb9e59a05ce9327df8630a1eff31ba5,bia,Venâncio Neiva,Campina Grande,cosmético ,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,4,1,4,5,5,1994,Não quis informar,Feminino,2015-12-11 19:47:30,2015-12-11 19:50:31,aa463a9ae4
dc735320b8931bca69b85d4e7d06e3c0,Marihana,Mons Sales,Campina Grande,Redepharma,1,Não comprou,Não está comprando,Moto,Na rua zona azul,5,4,1,3,5,5,1966,"3 SM (R$2.364,00)",Masculino,2015-12-11 19:48:09,2015-12-11 19:56:05,6db6bdd8a8
4e87a78fbbfb32a0e919774cc99fa303,Bruna P,Monsenhor Sales,Campina Grande,N,1,"R$1,00 - R$50,00",No meio,Carro,Na rua,5,1,5,5,5,5,1969,"5 a 8 SM (R$3.941,00 - R$6.304,00)",Feminino,2015-12-11 19:48:33,2015-12-11 19:57:51,f7c2a7ca12
9bf71d064596f6508be016b44f8e057e,bia,Venâncio Neiva,Campina Grande,n,0,Não comprou,Não está comprando,A pé,Não veio de carro,4,2,1,4,5,5,1963,"3 SM (R$2.364,00)",Feminino,2015-12-11 19:50:43,2015-12-11 19:53:52,aa463a9ae4
9bbce5214458d7c1c4936bb93fc77542,Maria Clara,Monsenhor Sales,Campina Grande,Nao,0,Não comprou,Não está comprando,Moto,Na rua,2,1,1,1,5,5,1982,"2 SM (R$1.576,00)",Masculino,2015-12-11 19:54:25,2015-12-11 19:57:50,8616a6d529
1214584116cebbfbee5f9a2f83c0622d,Marihana,Mons sales,Campina Grande,N,0,Não comprou,Não está comprando,Moto,Na rua zona azul,5,5,5,5,5,5,1967,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:56:21,2015-12-11 19:59:03,6db6bdd8a8
087f2c07e8df54950f141ccf52f5baf9,Bruna P,Manoel Cavalcante,Campina Grande,Loja do japonês,1,"R$101,00 - R$200,00",No meio,Ônibus,Não veio de carro,5,1,1,3,5,5,1990,Não quis informar,Feminino,2015-12-11 19:58:30,2015-12-11 20:16:57,f7c2a7ca12
354d3ac9c8572324b33f0c77edd03696,Marihana,Mons sales,Campina Grande,Central da biju,0,"R$101,00 - R$200,00",Já comprou tudo,Carro,Na rua zona azul,5,1,5,5,5,5,1973,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Feminino,2015-12-11 20:00:40,2015-12-11 20:03:22,6db6bdd8a8
096154e3c07572a16d3dd01a366f0e12,Maria clara,Monsenhor Sales,Campina Grande,Não ,0,Não comprou,Não está comprando,Carro,Na rua zona azul,3,1,5,2,2,3,1968,"8 a 10 SM (R$6.305,00 - R$7.880,00)",Masculino,2015-12-11 20:00:59,2015-12-11 20:05:04,8616a6d529
bd5396a238d75240edac080c67a71d67,bia,Venâncio Neiva,Campina Grande,nn,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,5,4,5,5,5,1954,Não quis informar,Feminino,2015-12-11 20:02:19,2015-12-11 20:05:13,aa463a9ae4
a216b8b1b703fc3f4212b7f9a7a46011,bia,Venâncio Neiva,Campina Grande,n,0,Não comprou,Não está comprando,Ônibus,Não veio de carro,5,4,1,5,5,5,1982,Sem renda,Feminino,2015-12-11 20:05:22,2015-12-11 20:08:22,aa463a9ae4
140b41191c0e4a3d35e5fa37bbe299b3,Marihana,Manoel cavalcanti,Pocinhos,Tiago calcados,0,"R$51,00 - R$100,00",Já comprou tudo,Carro,Na rua zona azul,5,4,4,4,5,5,1965,"5 a 8 SM (R$3.941,00 - R$6.304,00)",Feminino,2015-12-11 20:05:24,2015-12-11 20:13:11,6db6bdd8a8
0a5fd0db59d5dd170bdf6a0dca72fc08,Bruna Pontes,Peregrino de Carvalho,Campina Grande,N,1,Não comprou,Não está comprando,Moto,Na rua zona azul,5,3,5,1,5,5,1982,"Até 1 SM (R$788,00)",Masculino,2015-12-14 18:51:24,2015-12-14 18:57:06,50b5f29429
58f453d22f4c73984fa8bac7690d2adf,Marihana,Peregrino de Carvalho,Patos,N,1,Não comprou,Não está comprando,Carro,Na rua zona azul,5,5,5,4,5,5,1991,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-14 18:52:38,2015-12-14 18:55:17,4556c847f7
6789f84a6eaf7ff1cb9092a779b922ad,Carol,Peregrino de Carvalho,Campina Grande,C&a ,0,Não comprou,Nem começou,Carro,Carona apenas ida,5,5,5,5,5,5,1982,"2 SM (R$1.576,00)",Feminino,2015-12-14 18:52:46,2015-12-14 18:59:23,0fc986cd04
13f353b4b8cc465fa9069de792c32dd3,bia,Peregrino de Carvalho,Campina Grande,luiz tecidos,0,Não comprou,Nem começou,Ônibus,Não veio de carro,3,2,4,4,5,4,1941,Não quis informar,Feminino,2015-12-14 18:52:51,2015-12-14 18:57:19,d230fa20b1
41f443be5b693fe63074d4403e61ca81,Marihana,Peregrino de Carvalho,Conceicao,Vidracaria,0,Não comprou,Já comprou tudo,Carro,Estacionamento privado,5,5,5,3,3,5,1961,"Mais de 10 SM (>R$7.880,00)",Feminino,2015-12-14 18:55:26,2015-12-14 19:00:41,4556c847f7
