foto	qscore	red	green	blue	diag	hor	vert
centro/Avenida_Dom_Pedro_II__119_90.jpg	5.26820512821	125.609147	127.682314	123.584186	10	120	13
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg	3.45586726998	139.906722	141.756686	135.041647	2	47	10
centro/Avenida_Dom_Pedro_II__119_270.jpg	4.30307692308	109.918890	112.234606	108.105700	0	97	2
catole/Rua_Otacilio_Nepomuceno__76_90.jpg	5.65885225885	129.535540	134.318838	130.701722	4	51	0
liberdade/Rua_Severino_Pimentel__321__180.jpg	5.04300094967	121.297383	121.176650	116.275986	1	17	3
catole/Rua_Deputado_Ascendino_Moura__101__90.jpg	5.48918773534	144.728932	149.899870	149.314124	3	60	1
centro/Rua_Manoel_P._de_Araujo__370_180.jpg	2.06769230769	120.920446	118.684710	111.464251	12	114	20
liberdade/Rua_Acre__635_270.jpg	4.17869822485	138.278320	138.776455	133.851165	1	144	21
centro/Avenida_Dom_Pedro_II__500_270.jpg	5.57452177452	133.810905	132.219281	128.191960	18	89	16
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg	5.32916270972	136.950221	139.703047	134.954040	0	202	30
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg	4.80675213675	125.929564	126.994183	118.131234	32	60	2
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg	4.2141183919	129.821367	130.043005	119.405013	18	34	6
catole/Rua_Vigario_Calixto__1201_0.jpg	5.0154503616	142.369180	145.271709	141.056549	6	103	1
centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg	5.22125356125	128.970573	130.787113	127.437249	15	158	13
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg	4.0673992674	117.703577	116.063171	106.835853	5	50	8
catole/Rua_Olegario_Mariano__139_0.jpg	5.30599308099	129.873678	134.370033	132.239385	2	75	2
liberdade/Rua_Severino_Pimentel__439__180.jpg	4.50358974359	124.455026	123.571846	115.850316	10	32	2
liberdade/Rua_Riachuelo__847__180.jpg	5.42747252747	117.794447	119.201494	109.527542	0	19	2
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg	5.20036630037	129.055622	128.052188	122.677731	4	62	2
catole/Rua_Honorio_de_Melo__240__270.jpg	5.55205535206	143.184323	144.190199	138.668711	19	45	12
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg	6.05666666667	117.162331	121.228779	115.941390	0	44	0
liberdade/Rua_Riachuelo__455__180.jpg	3.77094017094	131.701270	131.881937	124.783831	1	48	11
